Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|Q14677-3|EPN4_HUMAN;sp|Q14677-2|EPN4_HUMAN	sp|Q14677-3|EPN4_HUMAN;sp|Q14677-2|EPN4_HUMAN	10;9	10;9	1;1	sp|Q14677-3|EPN4_HUMAN Isoform 3 of Clathrin interactor 1 OS=Homo sapiens GN=CLINT1;sp|Q14677-2|EPN4_HUMAN Isoform 2 of Clathrin interactor 1 OS=Homo sapiens GN=CLINT1	2	10	10	1	22.1	22.1	4.2	70.294	643	643;625	0	94.618	654380000	11				1562	1611;1738;3912;7430;8308;14599;16408;16765;17602;21040	True;True;True;True;True;True;True;True;True;True	1634;1762;3965;7535;8425;14835;16665;17029;17883;21375	1914;2056;4657;8907;10003;17627;19786;20210;21233;25420	2167;2168;2319;5260;10040;11300;19768;22186;22661;23828;28519	2167;2319;5260;10040;11300;19768;22186;22661;23828;28519		
sp|Q14683|SMC1A_HUMAN;tr|G8JLG1|G8JLG1_HUMAN	sp|Q14683|SMC1A_HUMAN;tr|G8JLG1|G8JLG1_HUMAN	4;2	4;2	4;2	sp|Q14683|SMC1A_HUMAN Structural maintenance of chromosomes protein 1A OS=Homo sapiens GN=SMC1A PE=1 SV=2;tr|G8JLG1|G8JLG1_HUMAN Structural maintenance of chromosomes protein 1A OS=Homo sapiens GN=SMC1A PE=1 SV=1	2	4	4	4	3.1	3.1	3.1	143.23	1233	1233;516	0	26.794	43467000	4				1563	7470;11306;12521;13211	True;True;True;True	7575;11465;12694;13415	8958;13703;15143;15987	10094;15436;17035;17952	10094;15436;17035;17952		
sp|Q14684-2|RRP1B_HUMAN;sp|Q14684|RRP1B_HUMAN	sp|Q14684-2|RRP1B_HUMAN;sp|Q14684|RRP1B_HUMAN	1;1	1;1	1;1	sp|Q14684-2|RRP1B_HUMAN Isoform 2 of Ribosomal RNA processing protein 1 homolog B OS=Homo sapiens GN=RRP1B;sp|Q14684|RRP1B_HUMAN Ribosomal RNA processing protein 1 homolog B OS=Homo sapiens GN=RRP1B PE=1 SV=3	2	1	1	1	1.8	1.8	1.8	82.175	740	740;758	0.0019881	7.1379	22045000	1				1564	5080	True	5151	6038	6782	6782		
sp|Q14694|UBP10_HUMAN;sp|Q14694-3|UBP10_HUMAN;sp|Q14694-2|UBP10_HUMAN;tr|H3BQP1|H3BQP1_HUMAN;tr|H3BNA1|H3BNA1_HUMAN;tr|J3KT19|J3KT19_HUMAN	sp|Q14694|UBP10_HUMAN;sp|Q14694-3|UBP10_HUMAN;sp|Q14694-2|UBP10_HUMAN	3;3;3;1;1;1	3;3;3;1;1;1	3;3;3;1;1;1	sp|Q14694|UBP10_HUMAN Ubiquitin carboxyl-terminal hydrolase 10 OS=Homo sapiens GN=USP10 PE=1 SV=2;sp|Q14694-3|UBP10_HUMAN Isoform 3 of Ubiquitin carboxyl-terminal hydrolase 10 OS=Homo sapiens GN=USP10;sp|Q14694-2|UBP10_HUMAN Isoform 2 of Ubiquitin carboxyl	6	3	3	3	4.9	4.9	4.9	87.133	798	798;802;846;110;150;208	0	21.223	151500000	4				1565	7894;11920;17065	True;True;True	8009;12087;17334	9529;9530;14429;20558	10765;10766;16253;23046	10766;16253;23046		
sp|Q14696|MESD_HUMAN;tr|H0YLI4|H0YLI4_HUMAN;tr|B4DW84|B4DW84_HUMAN	sp|Q14696|MESD_HUMAN	3;1;1	3;1;1	3;1;1	sp|Q14696|MESD_HUMAN LDLR chaperone MESD OS=Homo sapiens GN=MESDC2 PE=1 SV=2	3	3	3	3	16.7	16.7	16.7	26.076	234	234;80;138	0	17.774	233090000	3				1566	3331;11480;15596	True;True;True	3377;11641;15842	3960;13920;18810	4476;15685;21090	4476;15685;21090		
sp|Q14697|GANAB_HUMAN;tr|F5H6X6|F5H6X6_HUMAN;sp|Q14697-3|GANAB_HUMAN	sp|Q14697|GANAB_HUMAN;tr|F5H6X6|F5H6X6_HUMAN	44;39;1	44;39;1	1;1;0	sp|Q14697|GANAB_HUMAN Neutral alpha-glucosidase AB OS=Homo sapiens GN=GANAB PE=1 SV=3;tr|F5H6X6|F5H6X6_HUMAN Neutral alpha-glucosidase AB OS=Homo sapiens GN=GANAB PE=1 SV=1	3	44	44	1	60.5	60.5	2.2	106.87	944	944;847;52	0	323.31	8686600000	70				1567	422;510;718;719;1069;2354;2442;2523;3227;4486;5183;5621;5646;6574;7407;8414;9900;9972;11375;12184;12463;12707;13174;14019;14363;15301;15378;16122;16306;16474;16800;17246;17247;17573;19373;19625;19842;19903;20060;20401;20572;20573;20937;20968	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	427;517;728;729;1084;2388;2478;2561;3273;4542;5254;5700;5725;6670;7512;8531;10043;10116;11534;12355;12635;12882;13376;14247;14597;15541;15618;16377;16561;16731;17066;17519;17520;17853;19686;19942;20161;20222;20380;20728;20729;20901;20902;21271;21302	501;502;599;839;840;841;1257;1258;2791;2792;2894;2986;3829;3830;5336;5337;6164;6165;6695;6696;6697;6725;7878;7879;8882;10135;11990;12081;12082;13799;14755;14756;15076;15366;15943;16958;17352;18434;18523;19428;19649;19650;19867;20254;20784;20785;21192;21193;23423;23722;23978;23979;24052;24247;24248;24663;24664;24858;24859;24860;25299;25332	561;562;563;670;934;935;936;1405;1406;1407;3157;3158;3281;3383;4327;4328;6022;6023;6024;6921;6922;7510;7511;7512;7541;7542;8856;8857;10012;11448;13504;13601;13602;13603;15548;16608;16609;16610;16958;17285;17906;17907;19042;19465;20653;20761;21785;22036;22037;22278;22707;23316;23317;23785;23786;26276;26613;26897;26898;26972;26973;27209;27210;27211;27683;27684;27897;27898;27899;28385;28418	563;670;934;935;1406;3157;3281;3383;4327;6024;6922;7512;7542;8856;10012;11448;13504;13602;15548;16609;16958;17285;17906;19042;19465;20653;20761;21785;22037;22278;22707;23316;23317;23786;26276;26613;26898;26972;27211;27684;27897;27899;28385;28418	346	666
sp|Q14697-2|GANAB_HUMAN;tr|E9PKU7|E9PKU7_HUMAN;tr|E9PNH1|E9PNH1_HUMAN	sp|Q14697-2|GANAB_HUMAN;tr|E9PKU7|E9PKU7_HUMAN	44;36;5	1;1;1	1;1;1	sp|Q14697-2|GANAB_HUMAN Isoform 2 of Neutral alpha-glucosidase AB OS=Homo sapiens GN=GANAB;tr|E9PKU7|E9PKU7_HUMAN Neutral alpha-glucosidase AB OS=Homo sapiens GN=GANAB PE=1 SV=1	3	44	1	1	58.9	2	2	109.44	966	966;852;119	0	12.587	28440000	1				1568	422;510;718;719;1069;2354;2442;2523;3227;4486;5183;5621;5646;6574;7407;8414;9900;9972;11375;12184;12463;12707;13174;14019;14363;14768;15301;15378;16122;16306;16474;16800;17246;17247;17573;19373;19625;19903;20060;20401;20572;20573;20937;20968	False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False	427;517;728;729;1084;2388;2478;2561;3273;4542;5254;5700;5725;6670;7512;8531;10043;10116;11534;12355;12635;12882;13376;14247;14597;15006;15541;15618;16377;16561;16731;17066;17519;17520;17853;19686;19942;20222;20380;20728;20729;20901;20902;21271;21302	501;502;599;839;840;841;1257;1258;2791;2792;2894;2986;3829;3830;5336;5337;6164;6165;6695;6696;6697;6725;7878;7879;8882;10135;11990;12081;12082;13799;14755;14756;15076;15366;15943;16958;17352;17832;18434;18523;19428;19649;19650;19867;20254;20784;20785;21192;21193;23423;23722;24052;24247;24248;24663;24664;24858;24859;24860;25299;25332	561;562;563;670;934;935;936;1405;1406;1407;3157;3158;3281;3383;4327;4328;6022;6023;6024;6921;6922;7510;7511;7512;7541;7542;8856;8857;10012;11448;13504;13601;13602;13603;15548;16608;16609;16610;16958;17285;17906;17907;19042;19465;19997;20653;20761;21785;22036;22037;22278;22707;23316;23317;23785;23786;26276;26613;26972;26973;27209;27210;27211;27683;27684;27897;27898;27899;28385;28418	563;670;934;935;1406;3157;3281;3383;4327;6024;6922;7512;7542;8856;10012;11448;13504;13602;15548;16609;16958;17285;17906;19042;19465;19997;20653;20761;21785;22037;22278;22707;23316;23317;23786;26276;26613;26972;27211;27684;27897;27899;28385;28418	346	688
sp|Q14738-3|2A5D_HUMAN;sp|Q14738-2|2A5D_HUMAN;tr|E9PFR3|E9PFR3_HUMAN;sp|Q14738|2A5D_HUMAN;tr|H0Y8C4|H0Y8C4_HUMAN;tr|H7C5Q9|H7C5Q9_HUMAN	sp|Q14738-3|2A5D_HUMAN;sp|Q14738-2|2A5D_HUMAN;tr|E9PFR3|E9PFR3_HUMAN;sp|Q14738|2A5D_HUMAN;tr|H0Y8C4|H0Y8C4_HUMAN	5;5;5;5;4;2	5;5;5;5;4;2	4;4;4;4;3;1	sp|Q14738-3|2A5D_HUMAN Isoform Delta-3 of Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform OS=Homo sapiens GN=PPP2R5D;sp|Q14738-2|2A5D_HUMAN Isoform Delta-2 of Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit	6	5	5	4	12.1	12.1	9.7	58.452	496	496;570;594;602;504;154	0	33.187	210040000	6				1569	654;2276;4648;11825;19392	True;True;True;True;True	664;2308;4706;11992;19705	767;2697;5530;14326;23444	851;3041;6226;16136;26300;26301	851;3041;6226;16136;26300		
sp|Q14739|LBR_HUMAN;tr|C9JXK0|C9JXK0_HUMAN	sp|Q14739|LBR_HUMAN;tr|C9JXK0|C9JXK0_HUMAN	3;2	3;2	3;2	sp|Q14739|LBR_HUMAN Lamin-B receptor OS=Homo sapiens GN=LBR PE=1 SV=2;tr|C9JXK0|C9JXK0_HUMAN Lamin-B receptor (Fragment) OS=Homo sapiens GN=LBR PE=1 SV=1	2	3	3	3	6.7	6.7	6.7	70.702	615	615;213	0	22.842	107450000	3				1570	4413;13534;15789	True;True;True	4468;13751;16037	5253;16376;19037	5927;18383;18384;21340	5927;18383;21340		
tr|B7Z2Y2|B7Z2Y2_HUMAN;sp|Q14746-2|COG2_HUMAN;sp|Q14746|COG2_HUMAN;tr|B7Z7N2|B7Z7N2_HUMAN;tr|F5H1E5|F5H1E5_HUMAN	tr|B7Z2Y2|B7Z2Y2_HUMAN;sp|Q14746-2|COG2_HUMAN;sp|Q14746|COG2_HUMAN;tr|B7Z7N2|B7Z7N2_HUMAN;tr|F5H1E5|F5H1E5_HUMAN	3;3;3;2;2	3;3;3;2;2	3;3;3;2;2	tr|B7Z2Y2|B7Z2Y2_HUMAN Conserved oligomeric Golgi complex subunit 2 OS=Homo sapiens GN=COG2 PE=1 SV=1;sp|Q14746-2|COG2_HUMAN Isoform 2 of Conserved oligomeric Golgi complex subunit 2 OS=Homo sapiens GN=COG2;sp|Q14746|COG2_HUMAN Conserved oligomeric Golgi c	5	3	3	3	5.7	5.7	5.7	76.078	679	679;737;738;427;622	0	18.811	42745000	3				1571	14543;16069;16881	True;True;True	14779;16322;17147	17558;19361;20343	19696;21703;22806	19696;21703;22806		
sp|Q14789|GOGB1_HUMAN;sp|Q14789-2|GOGB1_HUMAN;tr|E7EU81|E7EU81_HUMAN;tr|H0Y867|H0Y867_HUMAN;tr|F8WF12|F8WF12_HUMAN;tr|C9J8Q0|C9J8Q0_HUMAN	sp|Q14789|GOGB1_HUMAN;sp|Q14789-2|GOGB1_HUMAN	20;20;7;4;1;1	20;20;7;4;1;1	20;20;7;4;1;1	sp|Q14789|GOGB1_HUMAN Golgin subfamily B member 1 OS=Homo sapiens GN=GOLGB1 PE=1 SV=2;sp|Q14789-2|GOGB1_HUMAN Isoform 2 of Golgin subfamily B member 1 OS=Homo sapiens GN=GOLGB1	6	20	20	20	8.7	8.7	8.7	376.01	3259	3259;3269;1640;1031;39;41	0	139.92	597680000	21				1572	478;1500;2600;2612;2727;4243;5701;7499;7893;8443;8871;9172;9812;11113;12190;13205;13909;14078;15330;18338	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	483;1521;2639;2651;2766;4298;5781;7606;8008;8561;9000;9306;9955;11270;12361;13409;14130;14307;15570;18632	559;1781;3082;3095;3230;5053;6794;8998;9528;10174;10694;11054;11879;13462;14762;15981;16821;17025;18466;22133	620;2019;3489;3507;3653;3654;5696;7621;10140;10764;11492;12066;12477;13385;15164;16617;17946;18887;19113;20692;24833	620;2019;3489;3507;3653;5696;7621;10140;10764;11492;12066;12477;13385;15164;16617;17946;18887;19113;20692;24833		
tr|F5GWX5|F5GWX5_HUMAN;sp|Q14839|CHD4_HUMAN;sp|Q14839-2|CHD4_HUMAN;tr|K7EMY3|K7EMY3_HUMAN;tr|F2Z2R5|F2Z2R5_HUMAN;tr|F5H6N4|F5H6N4_HUMAN	tr|F5GWX5|F5GWX5_HUMAN;sp|Q14839|CHD4_HUMAN;sp|Q14839-2|CHD4_HUMAN	15;15;15;4;3;1	15;15;15;4;3;1	9;9;9;0;0;1	tr|F5GWX5|F5GWX5_HUMAN Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens GN=CHD4 PE=1 SV=1;sp|Q14839|CHD4_HUMAN Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens GN=CHD4 PE=1 SV=2;sp|Q14839-2|CHD4_HUMAN Isoform 2 of Chromodomain-helicas	6	15	15	9	9.6	9.6	6.3	217.1	1905	1905;1912;1940;1060;1225;354	0	96.035	375820000	15				1573	2248;4416;4637;5513;5853;6254;7418;8313;11105;13102;14908;16796;18547;18778;20352	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2280;4471;4695;5591;5937;6345;7523;8430;11262;13299;15146;17062;18850;19084;20679	2666;5256;5515;6570;6970;7464;8893;10010;13453;15853;18001;20250;22409;22689;24605	3009;5930;6211;7366;7829;8377;10023;11307;15155;17810;20179;22703;25150;25462;27621	3009;5930;6211;7366;7829;8377;10023;11307;15155;17810;20179;22703;25150;25462;27621		
sp|Q14847|LASP1_HUMAN;sp|Q14847-2|LASP1_HUMAN;tr|C9J9W2|C9J9W2_HUMAN;sp|Q14847-3|LASP1_HUMAN;tr|F6S2S5|F6S2S5_HUMAN;tr|K7ESD6|K7ESD6_HUMAN;tr|J3KSN1|J3KSN1_HUMAN	sp|Q14847|LASP1_HUMAN;sp|Q14847-2|LASP1_HUMAN;tr|C9J9W2|C9J9W2_HUMAN;sp|Q14847-3|LASP1_HUMAN	15;15;12;8;5;3;2	15;15;12;8;5;3;2	14;14;11;8;4;3;2	sp|Q14847|LASP1_HUMAN LIM and SH3 domain protein 1 OS=Homo sapiens GN=LASP1 PE=1 SV=2;sp|Q14847-2|LASP1_HUMAN Isoform 2 of LIM and SH3 domain protein 1 OS=Homo sapiens GN=LASP1;tr|C9J9W2|C9J9W2_HUMAN LIM and SH3 domain protein 1 (Fragment) OS=Homo sapiens 	7	15	15	14	57.1	57.1	53.3	29.717	261	261;323;166;205;91;71;105	0	145.21	3357000000	19				1574	251;3126;6204;9230;10013;10135;11363;13005;13006;15125;15155;15571;18041;19535;20649	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	252;3171;6295;9365;10157;10279;11522;13196;13197;15364;15394;15817;18331;19850;20979	290;3709;7406;11122;12143;12144;12287;13782;13783;15724;15725;18235;18270;18779;21778;23610;23611;24952	323;4192;8312;12552;13681;13682;13839;15530;15531;17670;17671;20431;20469;21056;24421;24422;26481;26482;28002	323;4192;8312;12552;13682;13839;15531;17670;17671;20431;20469;21056;24421;26482;28002		
sp|Q14914-2|PTGR1_HUMAN;sp|Q14914|PTGR1_HUMAN;tr|Q5JVP3|Q5JVP3_HUMAN;tr|F2Z3J9|F2Z3J9_HUMAN;tr|Q5JVP2|Q5JVP2_HUMAN;tr|F6XGT7|F6XGT7_HUMAN	sp|Q14914-2|PTGR1_HUMAN;sp|Q14914|PTGR1_HUMAN;tr|Q5JVP3|Q5JVP3_HUMAN	9;9;5;3;2;1	9;9;5;3;2;1	9;9;5;3;2;1	sp|Q14914-2|PTGR1_HUMAN Isoform 2 of Prostaglandin reductase 1 OS=Homo sapiens GN=PTGR1;sp|Q14914|PTGR1_HUMAN Prostaglandin reductase 1 OS=Homo sapiens GN=PTGR1 PE=1 SV=2;tr|Q5JVP3|Q5JVP3_HUMAN Leukotriene B4 12-hydroxydehydrogenase, isoform CRA_d OS=Homo 	6	9	9	9	40.2	40.2	40.2	32.895	301	301;329;177;118;119;73	0	79.154	573710000	9				1575	3789;6238;6971;7345;10961;11313;12864;17506;20038	True;True;True;True;True;True;True;True;True	3840;6329;7070;7449;11116;11472;13047;17785;20358	4509;7445;7446;8349;8804;13289;13712;15555;21103;24214	5093;8356;8357;9384;9919;14969;15445;17486;23680;27156	5093;8356;9384;9919;14969;15445;17486;23680;27156		
tr|E9PQX9|E9PQX9_HUMAN;sp|Q14919|NC2A_HUMAN;sp|Q14919-2|NC2A_HUMAN;tr|C9JCC6|C9JCC6_HUMAN;tr|E9PNC7|E9PNC7_HUMAN;tr|E9PMW2|E9PMW2_HUMAN	tr|E9PQX9|E9PQX9_HUMAN;sp|Q14919|NC2A_HUMAN;sp|Q14919-2|NC2A_HUMAN;tr|C9JCC6|C9JCC6_HUMAN;tr|E9PNC7|E9PNC7_HUMAN;tr|E9PMW2|E9PMW2_HUMAN	2;2;2;2;1;1	2;2;2;2;1;1	2;2;2;2;1;1	tr|E9PQX9|E9PQX9_HUMAN Dr1-associated corepressor OS=Homo sapiens GN=DRAP1 PE=1 SV=1;sp|Q14919|NC2A_HUMAN Dr1-associated corepressor OS=Homo sapiens GN=DRAP1 PE=1 SV=3;sp|Q14919-2|NC2A_HUMAN Isoform 2 of Dr1-associated corepressor OS=Homo sapiens GN=DRAP1;	6	2	2	2	10.3	10.3	10.3	19.966	185	185;205;211;212;155;161	0.00086994	11.055	76230000	2				1576	17917;18415	True;True	18206;18713	21636;22242	24270;24965	24270;24965		
sp|Q14974|IMB1_HUMAN;sp|Q14974-2|IMB1_HUMAN;tr|F5H4R7|F5H4R7_HUMAN;tr|J3KTM9|J3KTM9_HUMAN;tr|J3QR48|J3QR48_HUMAN;tr|J3QKQ5|J3QKQ5_HUMAN;tr|J3QRG4|J3QRG4_HUMAN	sp|Q14974|IMB1_HUMAN;sp|Q14974-2|IMB1_HUMAN;tr|F5H4R7|F5H4R7_HUMAN;tr|J3KTM9|J3KTM9_HUMAN	28;22;20;20;6;4;2	28;22;20;20;6;4;2	28;22;20;20;6;4;2	sp|Q14974|IMB1_HUMAN Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2;sp|Q14974-2|IMB1_HUMAN Isoform 2 of Importin subunit beta-1 OS=Homo sapiens GN=KPNB1;tr|F5H4R7|F5H4R7_HUMAN Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=1;tr|J3KTM9	7	28	28	28	41	41	41	97.169	876	876;731;660;690;148;248;60	0	323.31	5472400000	45				1577	225;1137;1265;3143;3909;4599;5925;6020;7326;9472;10211;10312;11486;12075;12913;14133;14457;14605;15909;16610;16798;18213;18342;18416;18422;19255;19724;20829	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	226;1154;1285;3189;3962;4655;6010;6108;7429;9610;10355;10458;11647;12244;13098;14364;14692;14841;16161;16871;17064;18505;18637;18714;18720;19567;20042;21161	257;258;1342;1512;1513;3729;4653;5472;7059;7060;7168;7169;8775;8776;11431;12384;12385;12512;13928;13929;14621;15613;15614;17087;17458;17459;17635;19182;20027;20252;21983;22144;22145;22243;22244;22250;23286;23835;23836;25167	285;286;287;1499;1705;1706;4216;5256;6166;7926;7927;8045;8046;8047;9888;9889;12894;13942;13943;14083;15693;15694;16462;16463;17551;17552;19179;19579;19580;19777;21504;22452;22705;24648;24848;24849;24966;24967;24968;24974;26123;26124;26734;26735;26736;28234	286;1499;1705;4216;5256;6166;7926;8047;9889;12894;13943;14083;15693;16463;17552;19179;19580;19777;21504;22452;22705;24648;24849;24966;24974;26123;26736;28234	347	1
sp|Q14978|NOLC1_HUMAN;sp|Q14978-3|NOLC1_HUMAN;sp|Q14978-2|NOLC1_HUMAN;tr|Q96J17|Q96J17_HUMAN;tr|S4R349|S4R349_HUMAN;tr|S4R3C2|S4R3C2_HUMAN;tr|S4R402|S4R402_HUMAN;tr|S4R341|S4R341_HUMAN	sp|Q14978|NOLC1_HUMAN;sp|Q14978-3|NOLC1_HUMAN;sp|Q14978-2|NOLC1_HUMAN;tr|Q96J17|Q96J17_HUMAN	13;13;13;8;4;3;2;2	13;13;13;8;4;3;2;2	13;13;13;8;4;3;2;2	sp|Q14978|NOLC1_HUMAN Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens GN=NOLC1 PE=1 SV=2;sp|Q14978-3|NOLC1_HUMAN Isoform 3 of Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens GN=NOLC1;sp|Q14978-2|NOLC1_HUMAN Isoform Beta of Nucleolar a	8	13	13	13	18.2	18.2	18.2	73.602	699	699;700;709;418;258;281;46;73	0	87.005	1580700000	13				1578	136;1363;1759;2993;9884;11959;14120;14146;16658;18439;18471;19763;20098	True;True;True;True;True;True;True;True;True;True;True;True;True	137;1383;1783;3035;10027;12127;14350;14377;16921;18738;18770;20081;20418	153;1627;2080;3553;11973;14477;17073;17102;20086;22270;22308;22309;23879;24289	168;1832;2345;4022;13487;16306;19164;19194;22523;24994;25033;25034;26782;27255	168;1832;2345;4022;13487;16306;19164;19194;22523;24994;25033;26782;27255		
sp|Q14980|NUMA1_HUMAN;sp|Q14980-2|NUMA1_HUMAN;sp|Q14980-4|NUMA1_HUMAN;sp|Q14980-3|NUMA1_HUMAN;tr|H0YFY6|H0YFY6_HUMAN;sp|Q14980-5|NUMA1_HUMAN;tr|F5H4J1|F5H4J1_HUMAN;tr|F5H6Y5|F5H6Y5_HUMAN;tr|K4DIE0|K4DIE0_HUMAN;tr|F5H2F3|F5H2F3_HUMAN;tr|F5H3L6|F5H3L6_HUMAN;tr|F5H0Z7|F5H0Z7_HUMAN;tr|F5H763|F5H763_HUMAN;tr|F5GWK2|F5GWK2_HUMAN;tr|F5H073|F5H073_HUMAN;tr|F5H068|F5H068_HUMAN;tr|F8W6T3|F8W6T3_HUMAN;tr|F5H1L0|F5H1L0_HUMAN;tr|F5GZW1|F5GZW1_HUMAN;tr|F5H7R5|F5H7R5_HUMAN;tr|F5H4Y4|F5H4Y4_HUMAN;tr|F5GWA2|F5GWA2_HUMAN	sp|Q14980|NUMA1_HUMAN;sp|Q14980-2|NUMA1_HUMAN;sp|Q14980-4|NUMA1_HUMAN;sp|Q14980-3|NUMA1_HUMAN	65;64;53;53;30;29;26;20;10;3;3;3;3;2;2;2;2;2;2;1;1;1	65;64;53;53;30;29;26;20;10;3;3;3;3;2;2;2;2;2;2;1;1;1	65;64;53;53;30;29;26;20;10;3;3;3;3;2;2;2;2;2;2;1;1;1	sp|Q14980|NUMA1_HUMAN Nuclear mitotic apparatus protein 1 OS=Homo sapiens GN=NUMA1 PE=1 SV=2;sp|Q14980-2|NUMA1_HUMAN Isoform 2 of Nuclear mitotic apparatus protein 1 OS=Homo sapiens GN=NUMA1;sp|Q14980-4|NUMA1_HUMAN Isoform Numa-s of Nuclear mitotic apparat	22	65	65	65	39.8	39.8	39.8	238.26	2115	2115;2101;1763;1776;964;979;851;691;353;159;174;201;220;72;75;82;91;109;146;56;59;61	0	323.31	4338900000	77				1579	46;124;1132;1428;1652;1745;1754;1897;2355;2752;3088;3091;3396;3653;3688;3696;4104;4174;4188;4302;4493;5611;5777;6106;6107;7477;7674;7679;7952;8334;9324;9773;9801;10058;10172;10570;10725;10984;11066;11619;11915;11960;12049;12067;12068;12118;12253;12311;14474;14558;14671;15103;15109;15169;16398;16537;16724;16725;17467;18226;18474;18538;18748;18782;19830	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	46;124;1149;1448;1675;1769;1778;1922;2389;2791;3132;3135;3442;3701;3736;3744;4159;4229;4243;4357;4549;5690;5860;6195;6196;7582;7785;7790;8068;8451;9460;9914;9944;10202;10316;10720;10876;11140;11222;11780;12082;12128;12218;12236;12237;12288;12424;12482;14709;14794;14907;15342;15348;15409;16655;16796;16988;16989;17746;18518;18773;18841;19054;19088;20148	48;138;1337;1700;1701;1957;2063;2064;2075;2242;2793;3261;3666;3669;4036;4353;4354;4392;4401;4402;4896;4973;4990;5121;5345;6684;6880;7271;7272;8965;9225;9231;9232;9592;10036;11234;11830;11866;12193;12335;12813;12996;13316;13317;13408;14086;14423;14478;14593;14613;14614;14672;14829;14893;17477;17575;17711;18213;18219;18286;19775;19776;19942;20161;20162;21058;21997;22314;22400;22655;22656;22693;23963	51;152;1493;1911;1912;2211;2326;2327;2339;2340;2525;3159;3689;4146;4149;4562;4907;4908;4947;4957;4958;4959;5517;5605;5624;5772;6032;7496;7725;8159;8160;10102;10395;10401;10402;10841;10842;11344;12677;13331;13372;13735;13887;14426;14625;15001;15002;15106;15107;15108;15868;16247;16307;16308;16432;16453;16454;16455;16517;16693;16757;19604;19714;19858;20409;20415;20488;22175;22176;22359;22606;22607;23630;24665;25039;25141;25424;25425;25426;25467;26879	51;152;1493;1912;2211;2327;2339;2525;3159;3689;4146;4149;4562;4908;4947;4957;5517;5605;5624;5772;6032;7496;7725;8159;8160;10102;10395;10402;10841;11344;12677;13331;13372;13735;13887;14426;14625;15002;15107;15868;16247;16308;16432;16454;16455;16517;16693;16757;19604;19714;19858;20409;20415;20488;22175;22359;22606;22607;23630;24665;25039;25141;25426;25467;26879		
sp|Q14993|COJA1_HUMAN	sp|Q14993|COJA1_HUMAN	1	1	1	sp|Q14993|COJA1_HUMAN Collagen alpha-1(XIX) chain OS=Homo sapiens GN=COL19A1 PE=1 SV=3	1	1	1	1	1.7	1.7	1.7	115.22	1142	1142	1	-2	44847000	1	+			1580	14414	True	14648	17412	19527	19527	348;349	975;982
